outbreak_type,causative_agent,start,end,institution,duration
Respiratory,Coronavirus,2023-12-31,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-30,2024-01-10,LTCH,11
Respiratory,Coronavirus,2023-12-30,2024-01-06,LTCH,7
Respiratory,Influenza,2023-12-30,2024-01-16,LTCH,17
Respiratory,Coronavirus,2023-12-30,2024-01-06,Acute Care,7
Respiratory,Coronavirus,2023-12-29,NA,Retirement Home,NA
Respiratory,RSV,2023-12-29,2024-01-06,Retirement Home,8
Respiratory,RSV,2023-12-29,NA,LTCH,NA
Respiratory,RSV,2023-12-29,NA,LTCH,NA
Respiratory,RSV,2023-12-29,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-29,2024-01-12,LTCH,14
Respiratory,Metapneumovirus,2023-12-29,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-28,NA,Retirement Home,NA
Respiratory,Influenza,2023-12-28,NA,LTCH,NA
Respiratory,RSV,2023-12-28,NA,LTCH,NA
Respiratory,Influenza,2023-12-28,2024-01-08,LTCH,11
Respiratory,Coronavirus,2023-12-28,2024-01-05,LTCH,8
Respiratory,Coronavirus,2023-12-28,2024-01-08,Chronic Care,11
Respiratory,Coronavirus,2023-12-28,NA,Retirement Home,NA
Respiratory,Coronavirus,2023-12-28,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-27,NA,LTCH,NA
Enteric,Unknown,2023-12-27,NA,Retirement Home,NA
Respiratory,Coronavirus,2023-12-27,2023-12-29,LTCH,2
Respiratory,Coronavirus,2023-12-27,2024-01-08,Retirement Home,12
Respiratory,Coronavirus,2023-12-27,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-27,2024-01-09,Retirement Home,13
Respiratory,Influenza,2023-12-27,2024-01-05,Chronic Care,9
Respiratory,Coronavirus,2023-12-27,NA,Retirement Home,NA
Respiratory,Coronavirus,2023-12-27,2024-01-15,LTCH,19
Respiratory,Coronavirus,2023-12-27,2024-01-13,Chronic Care,17
Respiratory,Coronavirus,2023-12-27,2024-01-06,Chronic Care,10
Respiratory,Metapneumovirus,2023-12-27,2024-01-15,LTCH,19
Respiratory,Coronavirus,2023-12-26,2024-01-08,Psychiatric,13
Enteric,Unknown,2023-12-26,2024-01-03,LTCH,8
Respiratory,Coronavirus,2023-12-26,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-26,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-26,NA,Retirement Home,NA
Respiratory,Influenza,2023-12-25,2024-01-03,LTCH,9
Respiratory,Coronavirus,2023-12-25,2024-01-07,Chronic Care,13
Respiratory,Unknown,2023-12-25,2024-01-11,LTCH,17
Respiratory,Coronavirus,2023-12-25,2024-01-02,Retirement Home,8
Enteric,Unknown,2023-12-25,2023-12-31,LTCH,6
Respiratory,Coronavirus,2023-12-25,2024-01-05,Chronic Care,11
Respiratory,Coronavirus,2023-12-24,NA,Retirement Home,NA
Respiratory,Coronavirus,2023-12-24,2024-01-08,Chronic Care,15
Respiratory,Coronavirus,2023-12-24,2023-12-30,Retirement Home,6
Respiratory,Coronavirus,2023-12-24,2023-12-31,Retirement Home,7
Respiratory,Coronavirus,2023-12-24,2024-01-01,Retirement Home,8
Respiratory,Metapneumovirus,2023-12-24,2024-01-01,Chronic Care,8
Respiratory,Coronavirus,2023-12-24,2023-12-31,Chronic Care,7
Enteric,Norovirus,2023-12-23,NA,Chronic Care,NA
Respiratory,Coronavirus,2023-12-23,2024-01-04,LTCH,12
Respiratory,Influenza,2023-12-22,NA,Retirement Home,NA
Respiratory,Coronavirus,2023-12-22,2024-01-12,LTCH,21
Respiratory,RSV,2023-12-22,2024-01-06,LTCH,15
Respiratory,Coronavirus,2023-12-22,2024-01-05,Retirement Home,14
Respiratory,Coronavirus,2023-12-22,2024-01-04,Chronic Care,13
Respiratory,Coronavirus,2023-12-22,2024-01-02,Chronic Care,11
Respiratory,Influenza,2023-12-22,2024-01-02,LTCH,11
Respiratory,Coronavirus,2023-12-21,NA,LTCH,NA
Respiratory,Unknown,2023-12-21,2024-01-03,LTCH,13
Respiratory,Coronavirus,2023-12-21,2024-01-03,LTCH,13
Respiratory,Influenza,2023-12-21,2023-12-29,Chronic Care,8
Respiratory,Coronavirus,2023-12-21,2024-01-15,LTCH,25
Respiratory,Coronavirus,2023-12-20,2023-12-28,Psychiatric,8
Respiratory,Coronavirus,2023-12-20,2023-12-30,LTCH,10
Respiratory,Coronavirus,2023-12-20,2023-12-27,Retirement Home,7
Respiratory,Coronavirus,2023-12-20,2023-12-29,Acute Care,9
Respiratory,Coronavirus,2023-12-19,NA,Retirement Home,NA
Respiratory,Coronavirus,2023-12-19,2024-01-02,Chronic Care,14
Respiratory,Coronavirus,2023-12-19,2024-01-10,LTCH,22
Respiratory,Coronavirus,2023-12-19,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-19,2023-12-28,LTCH,9
Respiratory,Influenza,2023-12-19,2024-01-08,LTCH,20
Respiratory,Coronavirus,2023-12-19,2023-12-25,LTCH,6
Respiratory,Coronavirus,2023-12-19,2023-12-27,Chronic Care,8
Respiratory,Influenza,2023-12-18,2023-12-28,LTCH,10
Respiratory,Coronavirus,2023-12-18,2024-01-12,LTCH,25
Respiratory,Coronavirus,2023-12-18,2024-01-02,LTCH,15
Respiratory,Coronavirus,2023-12-18,2023-12-25,LTCH,7
Respiratory,Coronavirus,2023-12-18,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-18,2024-01-11,LTCH,24
Respiratory,Coronavirus,2023-12-18,2023-12-31,Acute Care,13
Respiratory,Coronavirus,2023-12-18,2024-01-08,Retirement Home,21
Respiratory,Coronavirus,2023-12-18,NA,Retirement Home,NA
Respiratory,Coronavirus,2023-12-18,2024-01-07,LTCH,20
Respiratory,Coronavirus,2023-12-18,2023-12-25,Retirement Home,7
Respiratory,Coronavirus,2023-12-18,2023-12-26,Acute Care,8
Respiratory,Coronavirus,2023-12-18,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-18,2023-12-26,Chronic Care,8
Respiratory,Coronavirus,2023-12-18,2024-01-02,Acute Care,15
Respiratory,Coronavirus,2023-12-17,2023-12-29,Retirement Home,12
Respiratory,Coronavirus,2023-12-17,2023-12-28,LTCH,11
Respiratory,Coronavirus,2023-12-17,2023-12-25,LTCH,8
Enteric,Unknown,2023-12-17,2023-12-24,Retirement Home,7
Respiratory,Coronavirus,2023-12-17,2023-12-27,Chronic Care,10
Respiratory,Coronavirus,2023-12-17,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-16,2023-12-29,Retirement Home,13
Respiratory,Coronavirus,2023-12-16,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-16,2023-12-28,LTCH,12
Respiratory,Coronavirus,2023-12-16,2023-12-22,LTCH,6
Respiratory,Coronavirus,2023-12-15,2024-01-04,Acute Care,20
Respiratory,Coronavirus,2023-12-15,2024-01-02,Acute Care,18
Respiratory,Coronavirus,2023-12-15,2024-01-02,Acute Care,18
Respiratory,Coronavirus,2023-12-15,2023-12-26,Chronic Care,11
Respiratory,Coronavirus,2023-12-14,NA,LTCH,NA
Respiratory,Influenza,2023-12-14,2023-12-29,LTCH,15
Respiratory,Influenza,2023-12-14,2023-12-27,Chronic Care,13
Respiratory,Coronavirus,2023-12-14,2023-12-25,LTCH,11
Respiratory,Coronavirus,2023-12-13,2023-12-20,Psychiatric,7
Respiratory,Influenza,2023-12-13,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-13,2023-12-26,LTCH,13
Respiratory,Coronavirus,2023-12-13,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-13,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-13,2023-12-30,Acute Care,17
Respiratory,Coronavirus,2023-12-12,2023-12-23,LTCH,11
Respiratory,Coronavirus,2023-12-12,2023-12-22,LTCH,10
Respiratory,Coronavirus,2023-12-12,2023-12-20,LTCH,8
Respiratory,Coronavirus,2023-12-12,2023-12-30,LTCH,18
