id,institution_name,institution_address,outbreak_setting,type_of_outbreak,causative_agent_1,causative_agent_2,date_outbreak_began,date_declared_over,active
1,"Chester Village - 1W, 2W, 2E, 3W & 4W",3555 Danforth Ave,LTCH,Respiratory,COVID-19,NA,2023-12-31,NA,Y
2,Belmont House - 2 East,55 Belmont St,LTCH,Respiratory,COVID-19,NA,2023-12-30,2024-01-10,N
3,The Jewish Home for the Aged -  2nd Fl (2RF),3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-12-30,2024-01-06,N
4,The Village of Humber Heights - 3E (Islington),2245 Lawrence Ave W,LTCH,Respiratory,Parainfluenza,NA,2023-12-30,2024-01-16,N
5,Unity Health Toronto - St. Joseph's - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-12-30,2024-01-06,N
6,Chartwell Grenadier Retirement Residence - 2nd Fl (Building D),2100 Bloor St W,Retirement Home,Respiratory,COVID-19,NA,2023-12-29,NA,Y
7,Delmanor Wynford - 4th Fl,187 Wynford Dr,Retirement Home,Respiratory,Respiratory syncytial virus,NA,2023-12-29,2024-01-06,N
8,Midland Gardens - 4th & 5th Fl,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-12-29,NA,Y
9,Mon Sheong Scarborough LTC Centre - 3rd South,2030 McNicoll Ave,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-12-29,NA,Y
10,Shepherd Lodge - 4th Fl South,3760 Shepherd Ave E,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-12-29,NA,Y
11,Unity Health Toronto - Houses of Providence - HOP1W (Maple),76 St. Clair Ave E,LTCH,Respiratory,Coronavirus*,Influenza A (Not subtyped),2023-12-29,2024-01-12,N
12,Valleyview Residence - 4E,541 Finch Ave W,LTCH,Respiratory,Metapneumovirus,NA,2023-12-29,NA,Y
13,Cedarhurst Dementia Care Home - 1 West & 2 East,2601 Bayview Ave,Retirement Home,Respiratory,COVID-19,NA,2023-12-28,NA,Y
14,Deerwood Creek Care Community - 1A,70 Humberline Dr,LTCH,Respiratory,Influenza A (Not subtyped),NA,2023-12-28,NA,Y
15,Extendicare Scarborough - 2nd Fl,3830 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-12-28,NA,Y
16,Harold and Grace Baker - Main Fl,1 Northwestern Ave,LTCH,Respiratory,Influenza A (Not subtyped),NA,2023-12-28,2024-01-08,N
17,Ina Grafton Gage Home - Unit 2,40 Bell Estate Rd,LTCH,Respiratory,COVID-19,NA,2023-12-28,2024-01-05,N
18,North York General Hospital - Branson Site - RCC 3,555 Finch Ave West,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-12-28,2024-01-08,N
19,Presentation Manor For Seniors - 2nd Fl (Assisted Living) & 4th Fl,61 Fairfax Cres,Retirement Home,Respiratory,COVID-19,NA,2023-12-28,NA,Y
20,Tony Stacey Centre for Veterans' Care - 1 East & 1 North,59 Lawson Rd,LTCH,Respiratory,COVID-19,NA,2023-12-28,NA,Y
21,Bendale Acres - 3rd Fl & 2 East Unit,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2023-12-27,NA,Y
22,Chartwell Guildwood,65 Livingston Rd,Retirement Home,Enteric,Pending,NA,2023-12-27,NA,Y
23,Fudger House - 1st Fl West,439 Sherbourne St,LTCH,Respiratory,Coronavirus*,NA,2023-12-27,2023-12-29,N
24,Hazelton Place Retirement Residence - 3rd & 8th Fl,111 Ave Rd,Retirement Home,Respiratory,COVID-19,NA,2023-12-27,2024-01-08,N
25,Midland Gardens Care Community - 4th & 5th Fl,130 Midland Ave,LTCH,Respiratory,COVID-19,NA,2023-12-27,NA,Y
26,Tapestry at Village Gate West - 6th & 8th Fl,15 Summerland Terr,Retirement Home,Respiratory,COVID-19,NA,2023-12-27,2024-01-09,N
