duration,causative_agent
11,Coronavirus
7,Coronavirus
17,Influenza
7,Coronavirus
8,RSV
14,Coronavirus
11,Influenza
8,Coronavirus
11,Coronavirus
2,Coronavirus
12,Coronavirus
13,Coronavirus
9,Influenza
19,Coronavirus
17,Coronavirus
10,Coronavirus
19,Metapneumovirus
13,Coronavirus
8,Unknown
9,Influenza
13,Coronavirus
17,Unknown
8,Coronavirus
6,Unknown
11,Coronavirus
15,Coronavirus
6,Coronavirus
7,Coronavirus
8,Coronavirus
8,Metapneumovirus
7,Coronavirus
12,Coronavirus
21,Coronavirus
15,RSV
14,Coronavirus
13,Coronavirus
11,Coronavirus
11,Influenza
13,Unknown
13,Coronavirus
8,Influenza
25,Coronavirus
8,Coronavirus
10,Coronavirus
7,Coronavirus
9,Coronavirus
14,Coronavirus
22,Coronavirus
9,Coronavirus
20,Influenza
6,Coronavirus
8,Coronavirus
10,Influenza
25,Coronavirus
15,Coronavirus
7,Coronavirus
24,Coronavirus
13,Coronavirus
21,Coronavirus
20,Coronavirus
7,Coronavirus
8,Coronavirus
8,Coronavirus
15,Coronavirus
12,Coronavirus
11,Coronavirus
8,Coronavirus
7,Unknown
10,Coronavirus
13,Coronavirus
12,Coronavirus
6,Coronavirus
20,Coronavirus
18,Coronavirus
18,Coronavirus
11,Coronavirus
15,Influenza
13,Influenza
11,Coronavirus
7,Coronavirus
13,Coronavirus
17,Coronavirus
11,Coronavirus
10,Coronavirus
8,Coronavirus
18,Coronavirus
8,Coronavirus
8,Coronavirus
11,Unknown
9,Influenza
10,Coronavirus
8,Coronavirus
16,Coronavirus
14,Coronavirus
14,RSV
34,Coronavirus
16,Coronavirus
8,Influenza
22,Coronavirus
6,Coronavirus
11,Coronavirus
9,Coronavirus
13,Coronavirus
10,Coronavirus
5,RSV
36,Coronavirus
24,RSV
21,Coronavirus
13,Coronavirus
6,Influenza
7,Coronavirus
9,Coronavirus
7,Coronavirus
9,Influenza
12,Coronavirus
13,Coronavirus
6,Coronavirus
12,Coronavirus
8,Coronavirus
10,Coronavirus
17,Unknown
12,Coronavirus
13,Coronavirus
16,Coronavirus
23,Coronavirus
9,Coronavirus
7,Coronavirus
7,Coronavirus
23,Coronavirus
14,Coronavirus
21,Coronavirus
8,Coronavirus
12,Coronavirus
11,Influenza
9,Coronavirus
6,Coronavirus
9,Coronavirus
12,RSV
11,Coronavirus
15,Coronavirus
8,Rhinovirus
14,Coronavirus
16,Coronavirus
15,Coronavirus
11,Coronavirus
14,Coronavirus
42,Coronavirus
5,Coronavirus
21,Unknown
8,Coronavirus
7,Coronavirus
7,Coronavirus
11,Coronavirus
11,Coronavirus
10,Coronavirus
9,Influenza
31,Coronavirus
8,Coronavirus
11,Influenza
7,Coronavirus
16,Coronavirus
14,Coronavirus
15,Coronavirus
18,Coronavirus
19,Coronavirus
12,Coronavirus
25,Coronavirus
24,Coronavirus
7,Coronavirus
8,Coronavirus
14,Coronavirus
11,Coronavirus
14,Unknown
11,Coronavirus
11,Coronavirus
18,Coronavirus
9,Coronavirus
8,RSV
6,Coronavirus
7,Coronavirus
6,Unknown
24,Coronavirus
21,Coronavirus
25,Coronavirus
22,Coronavirus
8,Coronavirus
10,Coronavirus
6,Coronavirus
7,Coronavirus
22,Coronavirus
23,Coronavirus
42,Coronavirus
10,Influenza
15,Coronavirus
7,Coronavirus
18,Coronavirus
12,Coronavirus
12,Coronavirus
11,Coronavirus
11,Coronavirus
12,Coronavirus
21,Coronavirus
8,Coronavirus
18,Coronavirus
