institution_type,outbreak_type
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
Acute Care,Respiratory
Retirement Home,Respiratory
Retirement Home,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
Retirement Home,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
Chronic Care,Respiratory
Retirement Home,Respiratory
LTCH,Respiratory
LTCH,Respiratory
Retirement Home,Enteric
LTCH,Respiratory
Retirement Home,Respiratory
LTCH,Respiratory
Retirement Home,Respiratory
Chronic Care,Respiratory
Retirement Home,Respiratory
LTCH,Respiratory
Chronic Care,Respiratory
Chronic Care,Respiratory
LTCH,Respiratory
Psychiatric,Respiratory
LTCH,Enteric
LTCH,Respiratory
LTCH,Respiratory
Retirement Home,Respiratory
LTCH,Respiratory
Chronic Care,Respiratory
LTCH,Respiratory
Retirement Home,Respiratory
LTCH,Enteric
Chronic Care,Respiratory
Retirement Home,Respiratory
Chronic Care,Respiratory
Retirement Home,Respiratory
Retirement Home,Respiratory
Retirement Home,Respiratory
Chronic Care,Respiratory
Chronic Care,Respiratory
Chronic Care,Enteric
LTCH,Respiratory
Retirement Home,Respiratory
LTCH,Respiratory
LTCH,Respiratory
Retirement Home,Respiratory
Chronic Care,Respiratory
Chronic Care,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
Chronic Care,Respiratory
LTCH,Respiratory
Psychiatric,Respiratory
LTCH,Respiratory
Retirement Home,Respiratory
Acute Care,Respiratory
Retirement Home,Respiratory
Chronic Care,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
Chronic Care,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
LTCH,Respiratory
Acute Care,Respiratory
Retirement Home,Respiratory
Retirement Home,Respiratory
LTCH,Respiratory
Retirement Home,Respiratory
Acute Care,Respiratory
LTCH,Respiratory
Chronic Care,Respiratory
