causative_agent,outbreak_type,duration
Coronavirus,Respiratory,11
Coronavirus,Respiratory,7
Influenza,Respiratory,17
Coronavirus,Respiratory,7
RSV,Respiratory,8
Coronavirus,Respiratory,14
Influenza,Respiratory,11
Coronavirus,Respiratory,8
Coronavirus,Respiratory,11
Coronavirus,Respiratory,2
Coronavirus,Respiratory,12
Coronavirus,Respiratory,13
Influenza,Respiratory,9
Coronavirus,Respiratory,19
Coronavirus,Respiratory,17
Coronavirus,Respiratory,10
Metapneumovirus,Respiratory,19
Coronavirus,Respiratory,13
Unknown,Enteric,8
Influenza,Respiratory,9
Coronavirus,Respiratory,13
Unknown,Respiratory,17
Coronavirus,Respiratory,8
Unknown,Enteric,6
Coronavirus,Respiratory,11
Coronavirus,Respiratory,15
Coronavirus,Respiratory,6
Coronavirus,Respiratory,7
Coronavirus,Respiratory,8
Metapneumovirus,Respiratory,8
Coronavirus,Respiratory,7
Coronavirus,Respiratory,12
Coronavirus,Respiratory,21
RSV,Respiratory,15
Coronavirus,Respiratory,14
Coronavirus,Respiratory,13
Coronavirus,Respiratory,11
Influenza,Respiratory,11
Unknown,Respiratory,13
Coronavirus,Respiratory,13
Influenza,Respiratory,8
Coronavirus,Respiratory,25
Coronavirus,Respiratory,8
Coronavirus,Respiratory,10
Coronavirus,Respiratory,7
Coronavirus,Respiratory,9
Coronavirus,Respiratory,14
Coronavirus,Respiratory,22
Coronavirus,Respiratory,9
Influenza,Respiratory,20
Coronavirus,Respiratory,6
Coronavirus,Respiratory,8
Influenza,Respiratory,10
Coronavirus,Respiratory,25
Coronavirus,Respiratory,15
Coronavirus,Respiratory,7
Coronavirus,Respiratory,24
Coronavirus,Respiratory,13
Coronavirus,Respiratory,21
Coronavirus,Respiratory,20
Coronavirus,Respiratory,7
Coronavirus,Respiratory,8
Coronavirus,Respiratory,8
Coronavirus,Respiratory,15
Coronavirus,Respiratory,12
Coronavirus,Respiratory,11
Coronavirus,Respiratory,8
Unknown,Enteric,7
Coronavirus,Respiratory,10
Coronavirus,Respiratory,13
Coronavirus,Respiratory,12
Coronavirus,Respiratory,6
Coronavirus,Respiratory,20
Coronavirus,Respiratory,18
Coronavirus,Respiratory,18
Coronavirus,Respiratory,11
Influenza,Respiratory,15
Influenza,Respiratory,13
Coronavirus,Respiratory,11
Coronavirus,Respiratory,7
Coronavirus,Respiratory,13
Coronavirus,Respiratory,17
Coronavirus,Respiratory,11
Coronavirus,Respiratory,10
Coronavirus,Respiratory,8
Coronavirus,Respiratory,18
Coronavirus,Respiratory,8
Coronavirus,Respiratory,8
Unknown,Enteric,11
Influenza,Respiratory,9
Coronavirus,Respiratory,10
Coronavirus,Respiratory,8
Coronavirus,Respiratory,16
Coronavirus,Respiratory,14
RSV,Respiratory,14
Coronavirus,Respiratory,34
Coronavirus,Respiratory,16
Influenza,Respiratory,8
Coronavirus,Respiratory,22
Coronavirus,Respiratory,6
Coronavirus,Respiratory,11
Coronavirus,Respiratory,9
Coronavirus,Respiratory,13
Coronavirus,Respiratory,10
RSV,Respiratory,5
Coronavirus,Respiratory,36
RSV,Respiratory,24
Coronavirus,Respiratory,21
Coronavirus,Respiratory,13
Influenza,Respiratory,6
Coronavirus,Respiratory,7
Coronavirus,Respiratory,9
Coronavirus,Respiratory,7
Influenza,Respiratory,9
Coronavirus,Respiratory,12
Coronavirus,Respiratory,13
Coronavirus,Respiratory,6
Coronavirus,Respiratory,12
Coronavirus,Respiratory,8
Coronavirus,Respiratory,10
Unknown,Respiratory,17
Coronavirus,Respiratory,12
Coronavirus,Respiratory,13
Coronavirus,Respiratory,16
Coronavirus,Respiratory,23
Coronavirus,Respiratory,9
Coronavirus,Respiratory,7
Coronavirus,Respiratory,7
Coronavirus,Respiratory,23
Coronavirus,Respiratory,14
Coronavirus,Respiratory,21
Coronavirus,Respiratory,8
Coronavirus,Respiratory,12
Influenza,Respiratory,11
Coronavirus,Respiratory,9
Coronavirus,Respiratory,6
Coronavirus,Respiratory,9
RSV,Respiratory,12
Coronavirus,Respiratory,11
Coronavirus,Respiratory,15
Rhinovirus,Respiratory,8
Coronavirus,Respiratory,14
Coronavirus,Respiratory,16
Coronavirus,Respiratory,15
Coronavirus,Respiratory,11
Coronavirus,Respiratory,14
Coronavirus,Respiratory,42
Coronavirus,Respiratory,5
Unknown,Respiratory,21
Coronavirus,Respiratory,8
Coronavirus,Respiratory,7
Coronavirus,Respiratory,7
Coronavirus,Respiratory,11
Coronavirus,Respiratory,11
Coronavirus,Respiratory,10
Influenza,Respiratory,9
Coronavirus,Respiratory,31
Coronavirus,Respiratory,8
Influenza,Respiratory,11
Coronavirus,Respiratory,7
Coronavirus,Respiratory,16
Coronavirus,Respiratory,14
Coronavirus,Respiratory,15
Coronavirus,Respiratory,18
Coronavirus,Respiratory,19
Coronavirus,Respiratory,12
Coronavirus,Respiratory,25
Coronavirus,Respiratory,24
Coronavirus,Respiratory,7
Coronavirus,Respiratory,8
Coronavirus,Respiratory,14
Coronavirus,Respiratory,11
Unknown,Respiratory,14
Coronavirus,Respiratory,11
Coronavirus,Respiratory,11
Coronavirus,Respiratory,18
Coronavirus,Respiratory,9
RSV,Respiratory,8
Coronavirus,Respiratory,6
Coronavirus,Respiratory,7
Unknown,Enteric,6
Coronavirus,Respiratory,24
Coronavirus,Respiratory,21
Coronavirus,Respiratory,25
Coronavirus,Respiratory,22
Coronavirus,Respiratory,8
Coronavirus,Respiratory,10
Coronavirus,Respiratory,6
Coronavirus,Respiratory,7
Coronavirus,Respiratory,22
Coronavirus,Respiratory,23
Coronavirus,Respiratory,42
Influenza,Respiratory,10
Coronavirus,Respiratory,15
Coronavirus,Respiratory,7
Coronavirus,Respiratory,18
Coronavirus,Respiratory,12
Coronavirus,Respiratory,12
Coronavirus,Respiratory,11
Coronavirus,Respiratory,11
Coronavirus,Respiratory,12
Coronavirus,Respiratory,21
Coronavirus,Respiratory,8
Coronavirus,Respiratory,18
Coronavirus,Respiratory,14
Coronavirus,Respiratory,13
Coronavirus,Respiratory,15
Coronavirus,Respiratory,15
Coronavirus,Respiratory,9
Coronavirus,Respiratory,20
Coronavirus,Respiratory,10
Coronavirus,Respiratory,23
Coronavirus,Respiratory,20
Coronavirus,Respiratory,10
Coronavirus,Respiratory,28
Coronavirus,Respiratory,14
Coronavirus,Respiratory,17
RSV,Respiratory,39
Coronavirus,Respiratory,37
Coronavirus,Respiratory,21
Coronavirus,Respiratory,17
Coronavirus,Respiratory,18
Unknown,Respiratory,14
Coronavirus,Respiratory,11
Coronavirus,Respiratory,11
Coronavirus,Respiratory,15
Coronavirus,Respiratory,13
Coronavirus,Respiratory,9
Coronavirus,Respiratory,11
Rhinovirus,Respiratory,14
Coronavirus,Respiratory,8
Unknown,Respiratory,15
Coronavirus,Respiratory,22
Coronavirus,Respiratory,13
Coronavirus,Respiratory,10
Coronavirus,Respiratory,28
Coronavirus,Respiratory,17
Coronavirus,Respiratory,12
Coronavirus,Respiratory,22
Coronavirus,Respiratory,18
Coronavirus,Respiratory,7
Coronavirus,Respiratory,30
Influenza,Respiratory,18
Coronavirus,Respiratory,21
Coronavirus,Respiratory,14
Coronavirus,Respiratory,24
Influenza,Respiratory,16
