year,month,institution,causative_agent
2023,12,LTCH,Coronavirus
2023,12,LTCH,Coronavirus
2023,12,LTCH,Coronavirus
2023,12,LTCH,Influenza
2023,12,Acute Care,Coronavirus
2023,12,Retirement Home,Coronavirus
2023,12,Retirement Home,RSV
2023,12,LTCH,RSV
2023,12,LTCH,RSV
2023,12,LTCH,RSV
2023,12,LTCH,Coronavirus
2023,12,LTCH,Metapneumovirus
2023,12,Retirement Home,Coronavirus
2023,12,LTCH,Influenza
2023,12,LTCH,RSV
2023,12,LTCH,Influenza
2023,12,LTCH,Coronavirus
2023,12,Chronic Care,Coronavirus
2023,12,Retirement Home,Coronavirus
2023,12,LTCH,Coronavirus
2023,12,LTCH,Coronavirus
2023,12,Retirement Home,Unknown
2023,12,LTCH,Coronavirus
2023,12,Retirement Home,Coronavirus
2023,12,LTCH,Coronavirus
2023,12,Retirement Home,Coronavirus
2023,12,Chronic Care,Influenza
2023,12,Retirement Home,Coronavirus
2023,12,LTCH,Coronavirus
2023,12,Chronic Care,Coronavirus
2023,12,Chronic Care,Coronavirus
2023,12,LTCH,Metapneumovirus
2023,12,Psychiatric,Coronavirus
2023,12,LTCH,Unknown
2023,12,LTCH,Coronavirus
2023,12,LTCH,Coronavirus
2023,12,Retirement Home,Coronavirus
2023,12,LTCH,Influenza
2023,12,Chronic Care,Coronavirus
2023,12,LTCH,Unknown
2023,12,Retirement Home,Coronavirus
2023,12,LTCH,Unknown
2023,12,Chronic Care,Coronavirus
2023,12,Retirement Home,Coronavirus
2023,12,Chronic Care,Coronavirus
2023,12,Retirement Home,Coronavirus
2023,12,Retirement Home,Coronavirus
2023,12,Retirement Home,Coronavirus
2023,12,Chronic Care,Metapneumovirus
2023,12,Chronic Care,Coronavirus
2023,12,Chronic Care,Norovirus
2023,12,LTCH,Coronavirus
2023,12,Retirement Home,Influenza
2023,12,LTCH,Coronavirus
2023,12,LTCH,RSV
2023,12,Retirement Home,Coronavirus
2023,12,Chronic Care,Coronavirus
2023,12,Chronic Care,Coronavirus
2023,12,LTCH,Influenza
2023,12,LTCH,Coronavirus
2023,12,LTCH,Unknown
2023,12,LTCH,Coronavirus
2023,12,Chronic Care,Influenza
2023,12,LTCH,Coronavirus
2023,12,Psychiatric,Coronavirus
2023,12,LTCH,Coronavirus
2023,12,Retirement Home,Coronavirus
2023,12,Acute Care,Coronavirus
2023,12,Retirement Home,Coronavirus
2023,12,Chronic Care,Coronavirus
2023,12,LTCH,Coronavirus
2023,12,LTCH,Coronavirus
2023,12,LTCH,Coronavirus
2023,12,LTCH,Influenza
2023,12,LTCH,Coronavirus
2023,12,Chronic Care,Coronavirus
