outbreak_type,year,institution
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Acute Care
Respiratory,2023,Retirement Home
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Enteric,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,Chronic Care
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,Psychiatric
Enteric,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Enteric,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,Retirement Home
Respiratory,2023,Chronic Care
Respiratory,2023,Retirement Home
Respiratory,2023,Retirement Home
Respiratory,2023,Retirement Home
Respiratory,2023,Chronic Care
Respiratory,2023,Chronic Care
Enteric,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,Chronic Care
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,Psychiatric
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,Acute Care
Respiratory,2023,Retirement Home
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Acute Care
Respiratory,2023,Retirement Home
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,Acute Care
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,Acute Care
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Enteric,2023,Retirement Home
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Acute Care
Respiratory,2023,Acute Care
Respiratory,2023,Acute Care
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,Psychiatric
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Acute Care
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Acute Care
Respiratory,2023,LTCH
Enteric,2023,Acute Care
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Acute Care
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,Retirement Home
Respiratory,2023,Chronic Care
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,Chronic Care
Respiratory,2023,Acute Care
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,Acute Care
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,Psychiatric
Respiratory,2023,Acute Care
Respiratory,2023,LTCH
Respiratory,2023,Retirement Home
Respiratory,2023,Acute Care
Respiratory,2023,Acute Care
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,Chronic Care
Respiratory,2023,Acute Care
Respiratory,2023,Retirement Home
Respiratory,2023,Retirement Home
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,Chronic Care
Respiratory,2023,Retirement Home
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,Acute Care
Respiratory,2023,LTCH
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,Chronic Care
Respiratory,2023,Chronic Care
Respiratory,2023,LTCH
Respiratory,2023,Chronic Care
Respiratory,2023,Chronic Care
